Category,Llama_Size,USA,China,India,Iran,Kenya,Greece
literature,70,"{'USA': 0.0, 'China': 0.21, 'India': 0.08, 'Iran': 0.44, 'Kenya': 0.21, 'Greece': 0.07}","{'USA': 0.08, 'China': 0.0, 'India': 0.1, 'Iran': 0.55, 'Kenya': 0.21, 'Greece': 0.06}","{'USA': 0.06, 'China': 0.2, 'India': 0.0, 'Iran': 0.52, 'Kenya': 0.18, 'Greece': 0.04}","{'USA': 0.15, 'China': 0.34, 'India': 0.2, 'Iran': 0.0, 'Kenya': 0.26, 'Greece': 0.06}","{'USA': 0.09, 'China': 0.22, 'India': 0.1, 'Iran': 0.55, 'Kenya': 0.0, 'Greece': 0.04}","{'USA': 0.07, 'China': 0.2, 'India': 0.07, 'Iran': 0.48, 'Kenya': 0.17, 'Greece': 0.0}"
location,7,"{'USA': 0.0, 'China': 0.25, 'India': 0.23, 'Iran': 0.33, 'Kenya': 0.07, 'Greece': 0.12}","{'USA': 0.06, 'China': 0.0, 'India': 0.31, 'Iran': 0.38, 'Kenya': 0.1, 'Greece': 0.15}","{'USA': 0.07, 'China': 0.26, 'India': 0.0, 'Iran': 0.37, 'Kenya': 0.11, 'Greece': 0.19}","{'USA': 0.08, 'China': 0.27, 'India': 0.33, 'Iran': 0.0, 'Kenya': 0.11, 'Greece': 0.21}","{'USA': 0.05, 'China': 0.21, 'India': 0.28, 'Iran': 0.32, 'Kenya': 0.0, 'Greece': 0.14}","{'USA': 0.07, 'China': 0.22, 'India': 0.25, 'Iran': 0.36, 'Kenya': 0.1, 'Greece': 0.0}"
location,13,"{'USA': 0.0, 'China': 0.27, 'India': 0.21, 'Iran': 0.29, 'Kenya': 0.09, 'Greece': 0.14}","{'USA': 0.04, 'China': 0.0, 'India': 0.31, 'Iran': 0.35, 'Kenya': 0.13, 'Greece': 0.18}","{'USA': 0.04, 'China': 0.28, 'India': 0.0, 'Iran': 0.35, 'Kenya': 0.14, 'Greece': 0.2}","{'USA': 0.05, 'China': 0.3, 'India': 0.34, 'Iran': 0.0, 'Kenya': 0.12, 'Greece': 0.19}","{'USA': 0.04, 'China': 0.24, 'India': 0.31, 'Iran': 0.29, 'Kenya': 0.0, 'Greece': 0.12}","{'USA': 0.04, 'China': 0.26, 'India': 0.27, 'Iran': 0.32, 'Kenya': 0.12, 'Greece': 0.0}"
location,70,"{'USA': 0.0, 'China': 0.27, 'India': 0.25, 'Iran': 0.32, 'Kenya': 0.05, 'Greece': 0.11}","{'USA': 0.04, 'China': 0.0, 'India': 0.31, 'Iran': 0.43, 'Kenya': 0.07, 'Greece': 0.15}","{'USA': 0.02, 'China': 0.29, 'India': 0.0, 'Iran': 0.4, 'Kenya': 0.12, 'Greece': 0.17}","{'USA': 0.07, 'China': 0.3, 'India': 0.34, 'Iran': 0.0, 'Kenya': 0.11, 'Greece': 0.19}","{'USA': 0.04, 'China': 0.22, 'India': 0.29, 'Iran': 0.32, 'Kenya': 0.0, 'Greece': 0.13}","{'USA': 0.06, 'China': 0.27, 'India': 0.25, 'Iran': 0.37, 'Kenya': 0.05, 'Greece': 0.0}"
male_clothing,7,"{'USA': 0.0, 'China': 0.63, 'India': 0.12, 'Iran': 0.04, 'Kenya': 0.14, 'Greece': 0.06}","{'USA': 0.14, 'China': 0.0, 'India': 0.24, 'Iran': 0.11, 'Kenya': 0.31, 'Greece': 0.2}","{'USA': 0.11, 'China': 0.55, 'India': 0.0, 'Iran': 0.05, 'Kenya': 0.21, 'Greece': 0.08}","{'USA': 0.08, 'China': 0.55, 'India': 0.11, 'Iran': 0.0, 'Kenya': 0.16, 'Greece': 0.09}","{'USA': 0.09, 'China': 0.61, 'India': 0.16, 'Iran': 0.05, 'Kenya': 0.0, 'Greece': 0.09}","{'USA': 0.1, 'China': 0.57, 'India': 0.13, 'Iran': 0.05, 'Kenya': 0.15, 'Greece': 0.0}"
male_clothing,13,"{'USA': 0.0, 'China': 0.53, 'India': 0.15, 'Iran': 0.05, 'Kenya': 0.18, 'Greece': 0.09}","{'USA': 0.11, 'China': 0.0, 'India': 0.24, 'Iran': 0.14, 'Kenya': 0.29, 'Greece': 0.22}","{'USA': 0.08, 'China': 0.5, 'India': 0.0, 'Iran': 0.08, 'Kenya': 0.23, 'Greece': 0.1}","{'USA': 0.07, 'China': 0.52, 'India': 0.13, 'Iran': 0.0, 'Kenya': 0.19, 'Greece': 0.09}","{'USA': 0.1, 'China': 0.55, 'India': 0.17, 'Iran': 0.08, 'Kenya': 0.0, 'Greece': 0.11}","{'USA': 0.08, 'China': 0.52, 'India': 0.14, 'Iran': 0.08, 'Kenya': 0.17, 'Greece': 0.0}"
male_clothing,70,"{'USA': 0.0, 'China': 0.61, 'India': 0.12, 'Iran': 0.04, 'Kenya': 0.12, 'Greece': 0.11}","{'USA': 0.14, 'China': 0.0, 'India': 0.27, 'Iran': 0.11, 'Kenya': 0.22, 'Greece': 0.27}","{'USA': 0.1, 'China': 0.54, 'India': 0.0, 'Iran': 0.07, 'Kenya': 0.19, 'Greece': 0.11}","{'USA': 0.07, 'China': 0.52, 'India': 0.15, 'Iran': 0.0, 'Kenya': 0.15, 'Greece': 0.12}","{'USA': 0.1, 'China': 0.55, 'India': 0.18, 'Iran': 0.05, 'Kenya': 0.0, 'Greece': 0.12}","{'USA': 0.11, 'China': 0.56, 'India': 0.14, 'Iran': 0.06, 'Kenya': 0.13, 'Greece': 0.0}"
male_names,7,"{'USA': 0.0, 'China': 0.33, 'India': 0.17, 'Iran': 0.14, 'Kenya': 0.23, 'Greece': 0.13}","{'USA': 0.03, 'China': 0.0, 'India': 0.27, 'Iran': 0.17, 'Kenya': 0.34, 'Greece': 0.18}","{'USA': 0.02, 'China': 0.44, 'India': 0.0, 'Iran': 0.13, 'Kenya': 0.29, 'Greece': 0.13}","{'USA': 0.02, 'China': 0.4, 'India': 0.19, 'Iran': 0.0, 'Kenya': 0.26, 'Greece': 0.13}","{'USA': 0.03, 'China': 0.46, 'India': 0.2, 'Iran': 0.16, 'Kenya': 0.0, 'Greece': 0.15}","{'USA': 0.03, 'China': 0.43, 'India': 0.18, 'Iran': 0.12, 'Kenya': 0.24, 'Greece': 0.0}"
male_names,13,"{'USA': 0.0, 'China': 0.23, 'India': 0.21, 'Iran': 0.13, 'Kenya': 0.27, 'Greece': 0.16}","{'USA': 0.04, 'China': 0.0, 'India': 0.3, 'Iran': 0.21, 'Kenya': 0.29, 'Greece': 0.16}","{'USA': 0.03, 'China': 0.31, 'India': 0.0, 'Iran': 0.19, 'Kenya': 0.29, 'Greece': 0.18}","{'USA': 0.03, 'China': 0.28, 'India': 0.26, 'Iran': 0.0, 'Kenya': 0.28, 'Greece': 0.15}","{'USA': 0.04, 'China': 0.35, 'India': 0.23, 'Iran': 0.22, 'Kenya': 0.0, 'Greece': 0.15}","{'USA': 0.03, 'China': 0.28, 'India': 0.22, 'Iran': 0.17, 'Kenya': 0.3, 'Greece': 0.0}"
male_names,70,"{'USA': 0.0, 'China': 0.38, 'India': 0.13, 'Iran': 0.12, 'Kenya': 0.2, 'Greece': 0.16}","{'USA': 0.03, 'China': 0.0, 'India': 0.24, 'Iran': 0.25, 'Kenya': 0.26, 'Greece': 0.22}","{'USA': 0.02, 'China': 0.41, 'India': 0.0, 'Iran': 0.19, 'Kenya': 0.24, 'Greece': 0.15}","{'USA': 0.02, 'China': 0.42, 'India': 0.2, 'Iran': 0.0, 'Kenya': 0.21, 'Greece': 0.16}","{'USA': 0.02, 'China': 0.42, 'India': 0.19, 'Iran': 0.19, 'Kenya': 0.0, 'Greece': 0.18}","{'USA': 0.02, 'China': 0.43, 'India': 0.15, 'Iran': 0.18, 'Kenya': 0.22, 'Greece': 0.0}"
religion,7,"{'USA': 0.0, 'China': 0.43, 'India': 0.1, 'Iran': 0.11, 'Kenya': 0.25, 'Greece': 0.11}","{'USA': 0.21, 'China': 0.0, 'India': 0.13, 'Iran': 0.12, 'Kenya': 0.4, 'Greece': 0.14}","{'USA': 0.16, 'China': 0.35, 'India': 0.0, 'Iran': 0.11, 'Kenya': 0.26, 'Greece': 0.12}","{'USA': 0.16, 'China': 0.4, 'India': 0.07, 'Iran': 0.0, 'Kenya': 0.24, 'Greece': 0.12}","{'USA': 0.18, 'China': 0.43, 'India': 0.11, 'Iran': 0.14, 'Kenya': 0.0, 'Greece': 0.14}","{'USA': 0.13, 'China': 0.41, 'India': 0.1, 'Iran': 0.11, 'Kenya': 0.25, 'Greece': 0.0}"
religion,13,"{'USA': 0.0, 'China': 0.44, 'India': 0.11, 'Iran': 0.13, 'Kenya': 0.2, 'Greece': 0.11}","{'USA': 0.2, 'China': 0.0, 'India': 0.16, 'Iran': 0.14, 'Kenya': 0.36, 'Greece': 0.14}","{'USA': 0.15, 'China': 0.4, 'India': 0.0, 'Iran': 0.13, 'Kenya': 0.23, 'Greece': 0.09}","{'USA': 0.17, 'China': 0.44, 'India': 0.08, 'Iran': 0.0, 'Kenya': 0.2, 'Greece': 0.11}","{'USA': 0.16, 'China': 0.46, 'India': 0.11, 'Iran': 0.15, 'Kenya': 0.0, 'Greece': 0.12}","{'USA': 0.13, 'China': 0.46, 'India': 0.09, 'Iran': 0.11, 'Kenya': 0.21, 'Greece': 0.0}"
religion,70,"{'USA': 0.0, 'China': 0.42, 'India': 0.12, 'Iran': 0.14, 'Kenya': 0.2, 'Greece': 0.12}","{'USA': 0.19, 'China': 0.0, 'India': 0.15, 'Iran': 0.17, 'Kenya': 0.34, 'Greece': 0.15}","{'USA': 0.16, 'China': 0.34, 'India': 0.0, 'Iran': 0.16, 'Kenya': 0.24, 'Greece': 0.1}","{'USA': 0.14, 'China': 0.44, 'India': 0.07, 'Iran': 0.0, 'Kenya': 0.22, 'Greece': 0.13}","{'USA': 0.19, 'China': 0.41, 'India': 0.13, 'Iran': 0.16, 'Kenya': 0.0, 'Greece': 0.12}","{'USA': 0.12, 'China': 0.42, 'India': 0.1, 'Iran': 0.12, 'Kenya': 0.24, 'Greece': 0.0}"
