question,options,correct_answer,response,probabilities
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενάιτ,Φαρενχάιτ,"{'Φαρενχάιτ': 0.48, 'Κελσίου': 0.33, 'Ράνκιν': 0.19}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κίνα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.47, 'Κελσίου': 0.33, 'Ράνκιν': 0.2}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Ινδία;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.46, 'Κελσίου': 0.35, 'Ράνκιν': 0.19}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στο Ιράν;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.46, 'Κελσίου': 0.35, 'Ράνκιν': 0.19}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κένυα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.47, 'Κελσίου': 0.37, 'Ράνκιν': 0.17}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.51, 'Κελσίου': 0.33, 'Ράνκιν': 0.16}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,πριν,"{'πριν': 0.29, 'πάνω': 0.26, 'μετά': 0.24, 'κάτω': 0.22}"
"Στην Κίνα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,πριν,"{'πριν': 0.35, 'μετά': 0.3, 'κάτω': 0.18, 'πάνω': 0.18}"
"Στην Ινδία, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,πριν,"{'μετά': 0.32, 'πριν': 0.32, 'κάτω': 0.2, 'πάνω': 0.16}"
"Στο Ιράν, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,πριν,"{'πριν': 0.34, 'μετά': 0.3, 'κάτω': 0.19, 'πάνω': 0.18}"
"Στην Κένυα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,πριν,"{'πριν': 0.29, 'πάνω': 0.25, 'μετά': 0.25, 'κάτω': 0.21}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,πριν,"{'πριν': 0.3, 'κάτω': 0.28, 'μετά': 0.24, 'πάνω': 0.18}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.33, 'πριν': 0.32, 'κάτω': 0.2, 'πάνω': 0.16}"
"Στην Κίνα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.28, 'πριν': 0.27, 'πάνω': 0.25, 'κάτω': 0.2}"
"Στην Ινδία, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.27, 'κάτω': 0.26, 'πριν': 0.26, 'πάνω': 0.21}"
"Στο Ιράν, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,πριν,"{'πριν': 0.29, 'μετά': 0.27, 'πάνω': 0.24, 'κάτω': 0.2}"
"Στην Κένυα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,πριν,"{'πριν': 0.29, 'μετά': 0.27, 'πάνω': 0.23, 'κάτω': 0.2}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,πάνω,"{'πάνω': 0.27, 'μετά': 0.26, 'πριν': 0.26, 'κάτω': 0.22}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.78, 'σπάνιο': 0.22}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.3, 'το βράδυ': 0.19, 'το πρωί': 0.15}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κινέζοι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",βράδυ,το μεσημέρι,"{'το μεσημέρι': 0.35, 'το απόγευμα': 0.3, 'το βράδυ': 0.19, 'το πρωί': 0.16}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ινδοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.35, 'το απόγευμα': 0.29, 'το βράδυ': 0.2, 'το πρωί': 0.16}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ιρανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.35, 'το απόγευμα': 0.3, 'το βράδυ': 0.2, 'το πρωί': 0.15}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κενυάτες;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.28, 'το βράδυ': 0.2, 'το πρωί': 0.16}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ","πρωί, απόγευμα",το μεσημέρι,"{'το μεσημέρι': 0.35, 'το απόγευμα': 0.3, 'το βράδυ': 0.2, 'το πρωί': 0.16}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",μηχανές,μηχανές,"{'μηχανές': 0.85, 'ήλιο': 0.15}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κινέζοι;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.85, 'ήλιο': 0.15}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ινδοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.84, 'ήλιο': 0.16}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ιρανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.85, 'ήλιο': 0.15}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κενυάτες;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.86, 'ήλιο': 0.14}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.85, 'ήλιο': 0.15}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στο Ιράν;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κένυα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",ψωμί,καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.23, 'νουντλς': 0.15, 'πατάτες': 0.14, 'φρούτα': 0.1, 'κρέας': 0.06, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Κίνα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, νουντλς",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.24, 'νουντλς': 0.16, 'πατάτες': 0.14, 'φρούτα': 0.09, 'κρέας': 0.04, 'ψωμί': 0.03, 'ρύζι': 0.03}"
Ποιο είναι το βασικό φαγητό στην Ινδία;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.29, 'λαχανικά': 0.22, 'νουντλς': 0.15, 'πατάτες': 0.15, 'φρούτα': 0.1, 'κρέας': 0.04, 'ψωμί': 0.03, 'ρύζι': 0.03}"
Ποιο είναι το βασικό φαγητό στο Ιράν;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.22, 'νουντλς': 0.16, 'πατάτες': 0.12, 'φρούτα': 0.11, 'κρέας': 0.05, 'ρύζι': 0.04, 'ψωμί': 0.03}"
Ποιο είναι το βασικό φαγητό στην Κένυα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","λαχανικά, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.29, 'λαχανικά': 0.22, 'νουντλς': 0.15, 'πατάτες': 0.15, 'φρούτα': 0.1, 'κρέας': 0.04, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ψωμί, λαχανικά, κρέας",καλαμπόκι,"{'καλαμπόκι': 0.26, 'λαχανικά': 0.24, 'νουντλς': 0.16, 'πατάτες': 0.13, 'φρούτα': 0.09, 'κρέας': 0.06, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",πιρούνι,"{'πιρούνι': 0.26, 'κουτάλι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.2, 'χέρι': 0.06}"
Με τί  τρώνε συνήθως οι Κινέζοι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",ξυλάκια,κουτάλι,"{'κουτάλι': 0.26, 'πιρούνι': 0.23, 'μαχαίρι': 0.23, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
Με τί τρώνε συνήθως οι Ινδοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, χέρι",μαχαίρι,"{'κουτάλι': 0.25, 'μαχαίρι': 0.25, 'πιρούνι': 0.24, 'ξυλάκια': 0.21, 'χέρι': 0.05}"
Με τί τρώνε συνήθως οι Ιρανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",κουτάλι,"{'κουτάλι': 0.25, 'πιρούνι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.22, 'χέρι': 0.05}"
Με τί τρώνε συνήθως οι Κενυάτες;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",μαχαίρι,"{'μαχαίρι': 0.29, 'πιρούνι': 0.24, 'κουτάλι': 0.22, 'ξυλάκια': 0.2, 'χέρι': 0.05}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",πιρούνι,"{'πιρούνι': 0.26, 'μαχαίρι': 0.24, 'κουτάλι': 0.23, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.78, 'σπάνιο': 0.22}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.78, 'σπάνιο': 0.22}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.79, 'σπάνιο': 0.21}"
