question,options,correct_answer,response,probabilities
Ποια είναι η μονάδα μέτρησης του ύψους στην Κίνα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.26, 'χιλιοστά': 0.21, 'εκατοστά': 0.21, 'ίντσες': 0.08, 'μέτρα': 0.07, 'πόδια': 0.07, 'μέτρο': 0.05, 'μίλια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Ινδία;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.28, 'εκατοστά': 0.21, 'χιλιοστά': 0.18, 'ίντσες': 0.09, 'μέτρα': 0.07, 'πόδια': 0.07, 'μίλια': 0.05, 'μέτρο': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στο Ιράν;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.25, 'εκατοστά': 0.21, 'χιλιοστά': 0.2, 'ίντσες': 0.09, 'μέτρο': 0.07, 'πόδια': 0.07, 'μέτρα': 0.07, 'μίλια': 0.04}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Κένυα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.27, 'εκατοστά': 0.22, 'χιλιοστά': 0.19, 'ίντσες': 0.08, 'πόδια': 0.07, 'μέτρα': 0.07, 'μέτρο': 0.05, 'μίλια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.29, 'εκατοστά': 0.21, 'χιλιοστά': 0.18, 'ίντσες': 0.08, 'μέτρα': 0.07, 'πόδια': 0.07, 'μέτρο': 0.05, 'μίλια': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",λίβρα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.36, 'χιλιόγραμμο': 0.28, 'γραμμάριο': 0.23, 'ουγγιά': 0.07, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κίνα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.37, 'χιλιόγραμμο': 0.27, 'γραμμάριο': 0.23, 'ουγγιά': 0.08, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στην Ινδία;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.39, 'χιλιόγραμμο': 0.25, 'γραμμάριο': 0.22, 'ουγγιά': 0.08, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στο Ιράν;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.39, 'χιλιόγραμμο': 0.26, 'γραμμάριο': 0.22, 'ουγγιά': 0.08, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κένυα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.38, 'χιλιόγραμμο': 0.26, 'γραμμάριο': 0.22, 'ουγγιά': 0.08, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.37, 'χιλιόγραμμο': 0.28, 'γραμμάριο': 0.23, 'ουγγιά': 0.07, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενάιτ,Φαρενχάιτ,"{'Φαρενχάιτ': 0.5, 'Κελσίου': 0.29, 'Ράνκιν': 0.21}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κίνα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.53, 'Κελσίου': 0.27, 'Ράνκιν': 0.2}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Ινδία;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.48, 'Κελσίου': 0.31, 'Ράνκιν': 0.21}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στο Ιράν;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.51, 'Κελσίου': 0.3, 'Ράνκιν': 0.19}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κένυα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.5, 'Κελσίου': 0.31, 'Ράνκιν': 0.19}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.5, 'Κελσίου': 0.29, 'Ράνκιν': 0.21}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.31, 'πριν': 0.28, 'κάτω': 0.25, 'πάνω': 0.16}"
"Στην Κίνα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.27, 'πριν': 0.25, 'πάνω': 0.19}"
"Στην Ινδία, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.29, 'κάτω': 0.26, 'πριν': 0.24, 'πάνω': 0.21}"
"Στο Ιράν, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.31, 'πριν': 0.29, 'κάτω': 0.26, 'πάνω': 0.15}"
"Στην Κένυα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.29, 'κάτω': 0.28, 'πριν': 0.22, 'πάνω': 0.21}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.31, 'κάτω': 0.27, 'πριν': 0.25, 'πάνω': 0.17}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.28, 'πάνω': 0.22, 'πριν': 0.21}"
"Στην Κίνα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,μετά,"{'μετά': 0.3, 'κάτω': 0.27, 'πριν': 0.22, 'πάνω': 0.21}"
"Στην Ινδία, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.27, 'πάνω': 0.23, 'πριν': 0.21}"
"Στο Ιράν, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.31, 'πριν': 0.26, 'κάτω': 0.25, 'πάνω': 0.18}"
"Στην Κένυα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.27, 'πάνω': 0.23, 'πριν': 0.22}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.27, 'πριν': 0.23, 'πάνω': 0.21}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.72, 'σπάνιο': 0.28}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.72, 'σπάνιο': 0.28}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.72, 'σπάνιο': 0.28}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.29, 'το βράδυ': 0.23, 'το πρωί': 0.14}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κινέζοι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",βράδυ,το μεσημέρι,"{'το μεσημέρι': 0.32, 'το απόγευμα': 0.32, 'το βράδυ': 0.24, 'το πρωί': 0.12}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ινδοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.3, 'το βράδυ': 0.22, 'το πρωί': 0.15}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ιρανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.3, 'το βράδυ': 0.22, 'το πρωί': 0.14}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κενυάτες;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.29, 'το βράδυ': 0.22, 'το πρωί': 0.13}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ","πρωί, απόγευμα",το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.28, 'το βράδυ': 0.23, 'το πρωί': 0.14}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",μηχανές,μηχανές,"{'μηχανές': 0.89, 'ήλιο': 0.11}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κινέζοι;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.87, 'ήλιο': 0.13}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ινδοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.87, 'ήλιο': 0.13}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ιρανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.89, 'ήλιο': 0.11}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κενυάτες;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.87, 'ήλιο': 0.13}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.87, 'ήλιο': 0.13}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.69, 'σπάνιο': 0.31}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στο Ιράν;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κένυα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",ψωμί,καλαμπόκι,"{'καλαμπόκι': 0.25, 'λαχανικά': 0.22, 'πατάτες': 0.18, 'νουντλς': 0.14, 'φρούτα': 0.09, 'κρέας': 0.06, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Κίνα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, νουντλς",καλαμπόκι,"{'καλαμπόκι': 0.26, 'λαχανικά': 0.21, 'πατάτες': 0.17, 'νουντλς': 0.15, 'φρούτα': 0.09, 'κρέας': 0.07, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Ινδία;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.23, 'πατάτες': 0.16, 'νουντλς': 0.15, 'φρούτα': 0.08, 'κρέας': 0.05, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στο Ιράν;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.22, 'πατάτες': 0.17, 'νουντλς': 0.14, 'φρούτα': 0.09, 'κρέας': 0.05, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Κένυα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","λαχανικά, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.22, 'πατάτες': 0.17, 'νουντλς': 0.15, 'φρούτα': 0.09, 'κρέας': 0.06, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ψωμί, λαχανικά, κρέας",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.22, 'πατάτες': 0.17, 'νουντλς': 0.14, 'φρούτα': 0.09, 'κρέας': 0.06, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",πιρούνι,"{'πιρούνι': 0.25, 'κουτάλι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
Με τί  τρώνε συνήθως οι Κινέζοι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",ξυλάκια,κουτάλι,"{'κουτάλι': 0.26, 'πιρούνι': 0.24, 'μαχαίρι': 0.22, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
Με τί τρώνε συνήθως οι Ινδοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, χέρι",πιρούνι,"{'κουτάλι': 0.25, 'πιρούνι': 0.25, 'μαχαίρι': 0.23, 'ξυλάκια': 0.2, 'χέρι': 0.07}"
Με τί τρώνε συνήθως οι Ιρανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",πιρούνι,"{'πιρούνι': 0.25, 'κουτάλι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.2, 'χέρι': 0.06}"
Με τί τρώνε συνήθως οι Κενυάτες;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",πιρούνι,"{'πιρούνι': 0.25, 'κουτάλι': 0.24, 'μαχαίρι': 0.23, 'ξυλάκια': 0.22, 'χέρι': 0.06}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",κουτάλι,"{'κουτάλι': 0.26, 'πιρούνι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.72, 'σπάνιο': 0.28}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.68, 'σπάνιο': 0.32}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.69, 'σπάνιο': 0.31}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
