question,options,correct_answer,response,probabilities
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κένυα;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.52, 'μπροστά': 0.27, 'Δεξιά': 0.16, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,αριστερά,"{'αριστερά': 0.52, 'μπροστά': 0.27, 'Δεξιά': 0.17, 'πίσω': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες",χιλιόμετρο,"{'χιλιόμετρο': 0.28, 'χιλιοστά': 0.2, 'εκατοστά': 0.19, 'ίντσες': 0.08, 'μέτρα': 0.07, 'μίλια': 0.07, 'μέτρο': 0.06, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Κίνα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.26, 'χιλιοστά': 0.2, 'εκατοστά': 0.2, 'ίντσες': 0.08, 'μέτρο': 0.07, 'μίλια': 0.07, 'μέτρα': 0.06, 'πόδια': 0.06}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Ινδία;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.3, 'χιλιοστά': 0.19, 'εκατοστά': 0.17, 'ίντσες': 0.08, 'μέτρα': 0.07, 'μέτρο': 0.07, 'πόδια': 0.06, 'μίλια': 0.06}"
Ποια είναι η μονάδα μέτρησης του ύψους στο Ιράν;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.26, 'χιλιοστά': 0.2, 'εκατοστά': 0.19, 'ίντσες': 0.09, 'μέτρο': 0.07, 'μέτρα': 0.07, 'μίλια': 0.07, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Κένυα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.29, 'εκατοστά': 0.2, 'χιλιοστά': 0.18, 'ίντσες': 0.08, 'μέτρα': 0.07, 'μίλια': 0.07, 'πόδια': 0.06, 'μέτρο': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.29, 'εκατοστά': 0.21, 'χιλιοστά': 0.19, 'ίντσες': 0.08, 'μίλια': 0.07, 'μέτρο': 0.06, 'μέτρα': 0.06, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",λίβρα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.35, 'γραμμάριο': 0.26, 'χιλιόγραμμο': 0.24, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κίνα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.38, 'γραμμάριο': 0.26, 'χιλιόγραμμο': 0.21, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στην Ινδία;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.38, 'γραμμάριο': 0.26, 'χιλιόγραμμο': 0.2, 'ουγγιά': 0.1, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στο Ιράν;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.36, 'γραμμάριο': 0.25, 'χιλιόγραμμο': 0.23, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κένυα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.38, 'γραμμάριο': 0.27, 'χιλιόγραμμο': 0.2, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.34, 'γραμμάριο': 0.26, 'χιλιόγραμμο': 0.25, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενάιτ,Φαρενχάιτ,"{'Φαρενχάιτ': 0.45, 'Κελσίου': 0.34, 'Ράνκιν': 0.21}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κίνα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.46, 'Κελσίου': 0.32, 'Ράνκιν': 0.21}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Ινδία;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.44, 'Κελσίου': 0.33, 'Ράνκιν': 0.24}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στο Ιράν;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.44, 'Κελσίου': 0.34, 'Ράνκιν': 0.23}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κένυα;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.44, 'Κελσίου': 0.33, 'Ράνκιν': 0.23}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Κελσίου,Φαρενχάιτ,"{'Φαρενχάιτ': 0.45, 'Κελσίου': 0.34, 'Ράνκιν': 0.21}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.3, 'μετά': 0.28, 'πριν': 0.26, 'πάνω': 0.17}"
"Στην Κίνα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.3, 'κάτω': 0.28, 'πριν': 0.24, 'πάνω': 0.18}"
"Στην Ινδία, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.29, 'μετά': 0.29, 'πριν': 0.23, 'πάνω': 0.19}"
"Στο Ιράν, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.32, 'μετά': 0.28, 'πριν': 0.26, 'πάνω': 0.15}"
"Στην Κένυα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.31, 'μετά': 0.29, 'πριν': 0.23, 'πάνω': 0.17}"
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.31, 'μετά': 0.3, 'πριν': 0.25, 'πάνω': 0.14}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,κάτω,"{'κάτω': 0.32, 'μετά': 0.28, 'πριν': 0.25, 'πάνω': 0.16}"
"Στην Κίνα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,κάτω,"{'κάτω': 0.3, 'μετά': 0.3, 'πριν': 0.23, 'πάνω': 0.16}"
"Στην Ινδία, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,κάτω,"{'κάτω': 0.31, 'μετά': 0.29, 'πριν': 0.23, 'πάνω': 0.18}"
"Στο Ιράν, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.3, 'κάτω': 0.29, 'πριν': 0.24, 'πάνω': 0.17}"
"Στην Κένυα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,μετά,"{'μετά': 0.29, 'κάτω': 0.28, 'πριν': 0.22, 'πάνω': 0.2}"
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,κάτω,"{'μετά': 0.29, 'κάτω': 0.29, 'πριν': 0.22, 'πάνω': 0.2}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.3, 'το βράδυ': 0.21, 'το πρωί': 0.13}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κινέζοι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",βράδυ,το μεσημέρι,"{'το μεσημέρι': 0.33, 'το απόγευμα': 0.32, 'το βράδυ': 0.21, 'το πρωί': 0.14}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ινδοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.31, 'το βράδυ': 0.22, 'το πρωί': 0.13}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ιρανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.31, 'το βράδυ': 0.21, 'το πρωί': 0.12}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κενυάτες;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",πρωί,το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.3, 'το βράδυ': 0.21, 'το πρωί': 0.13}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ","πρωί, απόγευμα",το μεσημέρι,"{'το μεσημέρι': 0.37, 'το απόγευμα': 0.29, 'το βράδυ': 0.2, 'το πρωί': 0.13}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",μηχανές,μηχανές,"{'μηχανές': 0.83, 'ήλιο': 0.17}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κινέζοι;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.81, 'ήλιο': 0.19}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ινδοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.8, 'ήλιο': 0.2}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ιρανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.82, 'ήλιο': 0.18}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κενυάτες;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.81, 'ήλιο': 0.19}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,"μηχανές, ήλιο",ηλιο,μηχανές,"{'μηχανές': 0.81, 'ήλιο': 0.19}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στο Ιράν;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κένυα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",ψωμί,καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.21, 'πατάτες': 0.15, 'νουντλς': 0.15, 'φρούτα': 0.11, 'κρέας': 0.05, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Κίνα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, νουντλς",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.21, 'πατάτες': 0.15, 'νουντλς': 0.15, 'φρούτα': 0.11, 'κρέας': 0.07, 'ψωμί': 0.02, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στην Ινδία;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.21, 'νουντλς': 0.16, 'πατάτες': 0.15, 'φρούτα': 0.11, 'κρέας': 0.05, 'ρύζι': 0.02, 'ψωμί': 0.02}"
Ποιο είναι το βασικό φαγητό στο Ιράν;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ρύζι, ψωμί",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.21, 'νουντλς': 0.15, 'πατάτες': 0.15, 'φρούτα': 0.11, 'κρέας': 0.05, 'ρύζι': 0.02, 'ψωμί': 0.02}"
Ποιο είναι το βασικό φαγητό στην Κένυα;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","λαχανικά, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.21, 'νουντλς': 0.15, 'πατάτες': 0.14, 'φρούτα': 0.11, 'κρέας': 0.05, 'ψωμί': 0.02, 'ρύζι': 0.02}"
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι","ψωμί, λαχανικά, κρέας",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.21, 'πατάτες': 0.15, 'νουντλς': 0.15, 'φρούτα': 0.11, 'κρέας': 0.05, 'ρύζι': 0.02, 'ψωμί': 0.02}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",μαχαίρι,"{'μαχαίρι': 0.28, 'κουτάλι': 0.26, 'πιρούνι': 0.21, 'ξυλάκια': 0.2, 'χέρι': 0.04}"
Με τί  τρώνε συνήθως οι Κινέζοι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",ξυλάκια,μαχαίρι,"{'μαχαίρι': 0.28, 'κουτάλι': 0.26, 'πιρούνι': 0.23, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
Με τί τρώνε συνήθως οι Ινδοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, χέρι",μαχαίρι,"{'μαχαίρι': 0.29, 'κουτάλι': 0.26, 'πιρούνι': 0.22, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
Με τί τρώνε συνήθως οι Ιρανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",μαχαίρι,"{'μαχαίρι': 0.28, 'κουτάλι': 0.27, 'πιρούνι': 0.22, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
Με τί τρώνε συνήθως οι Κενυάτες;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","κουτάλι, πιρούνι",μαχαίρι,"{'μαχαίρι': 0.29, 'κουτάλι': 0.25, 'πιρούνι': 0.22, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια","μαχαίρι, πιρούνι",μαχαίρι,"{'μαχαίρι': 0.28, 'κουτάλι': 0.26, 'πιρούνι': 0.23, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κίνα;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
