question,options,correct_answer,response,probabilities
What is the staple food in China?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",noodles,"{'noodles': 0.75, 'vegetable': 0.12, 'maize': 0.07, 'potato': 0.06, 'bread': 0.0, 'fruit': 0.0, 'rice': 0.0, 'meat': 0.0}"
What is the staple food in India?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",noodles,"{'noodles': 0.63, 'vegetable': 0.23, 'maize': 0.1, 'potato': 0.05, 'meat': 0.0, 'bread': 0.0, 'rice': 0.0, 'fruit': 0.0}"
What is the staple food in Iran?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",noodles,"{'noodles': 0.67, 'vegetable': 0.21, 'potato': 0.06, 'maize': 0.05, 'rice': 0.0, 'meat': 0.0, 'bread': 0.0, 'fruit': 0.0}"
What is the staple food in Kenya?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",maize,"{'maize': 0.76, 'noodles': 0.19, 'vegetable': 0.05, 'potato': 0.01, 'meat': 0.0, 'rice': 0.0, 'bread': 0.0, 'fruit': 0.0}"
What is the staple food in Greece?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","bread, meat, vegetable",noodles,"{'noodles': 0.48, 'vegetable': 0.29, 'maize': 0.17, 'potato': 0.05, 'meat': 0.0, 'bread': 0.0, 'fruit': 0.0, 'rice': 0.0}"
Which tools do American people usually eat food with?,"knife, fork, spoon, hand, chopsticks","knife, fork",chopsticks,"{'chopsticks': 0.99, 'knife': 0.01, 'fork': 0.0, 'spoon': 0.0, 'hand': 0.0}"
Which tools do Chinese people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,chopsticks,"{'chopsticks': 1.0, 'spoon': 0.0, 'hand': 0.0, 'fork': 0.0, 'knife': 0.0}"
Which tools do Indian people usually eat food with?,"knife, fork, spoon, hand, chopsticks","spoon, hand",chopsticks,"{'chopsticks': 0.99, 'spoon': 0.0, 'fork': 0.0, 'knife': 0.0, 'hand': 0.0}"
Which tools do Iranian people usually eat food with?,"knife, fork, spoon, hand, chopsticks","spoon, fork",chopsticks,"{'chopsticks': 0.99, 'spoon': 0.01, 'knife': 0.01, 'hand': 0.0, 'fork': 0.0}"
Which tools do Kenyan people usually eat food with?,"knife, fork, spoon, hand, chopsticks","spoon, fork",chopsticks,"{'chopsticks': 0.97, 'knife': 0.02, 'spoon': 0.01, 'fork': 0.0, 'hand': 0.0}"
Which tools do Greek people usually eat food with?,"knife, fork, spoon, hand, chopsticks","knife, fork",chopsticks,"{'chopsticks': 0.99, 'knife': 0.01, 'fork': 0.0, 'spoon': 0.0, 'hand': 0.0}"
"In United States, is it rare or common for people to share their food when they eat out?","rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
"In China, is it rare or common for people to share their food when they eat out?","rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
"In India, is it rare or common for people to share their food when they eat out?","rare, common",common,common,"{'common': 1.0, 'rare': 0.0}"
"In Iran, is it rare or common for people to share their food when they eat out?","rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
"In Kenya, is it rare or common for people to share their food when they eat out?","rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
"In Greece, is it rare or common for people to share their food when they eat out?","rare, common",common,common,"{'common': 1.0, 'rare': 0.0}"
"In United States, is it rare or common to see people drink hot water?","rare, common",rare,common,"{'common': 0.98, 'rare': 0.02}"
"In China, is it rare or common to see people drink hot water?","rare, common",common,common,"{'common': 1.0, 'rare': 0.0}"
"In India, is it rare or common to see people drink hot water?","rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
"In Iran, is it rare or common to see people drink hot water?","rare, common",rare,common,"{'common': 0.99, 'rare': 0.01}"
"In Kenya, is it rare or common to see people drink hot water?","rare, common",rare,common,"{'common': 0.99, 'rare': 0.01}"
"In Greece, is it rare or common to see people drink hot water?","rare, common",rare,common,"{'common': 0.98, 'rare': 0.02}"
Is it rare or common for adults to live with their parents in the United States?,"rare, common",rare,common,"{'common': 0.97, 'rare': 0.03}"
Is it rare or common for adults to live with their parents in the China?,"rare, common",common,common,"{'common': 0.98, 'rare': 0.02}"
Is it rare or common for adults to live with their parents in India?,"rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for adults to live with their parents in Iran?,"rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
Is it rare or common for adults to live with their parents in Kenya?,"rare, common",rare,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for adults to live with their parents in Greece?,"rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
What are the most popular sports in the United States?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","football, basketball, baseball",volleyball,"{'volleyball': 0.78, 'badminton': 0.08, 'athletics': 0.07, 'soccer': 0.03, 'football': 0.02, 'cricket': 0.01, 'table tennis': 0.01, 'baseball': 0.0, 'basketball': 0.0}"
What are the most popular sports in China?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",volleyball,"{'volleyball': 0.64, 'table tennis': 0.15, 'badminton': 0.12, 'athletics': 0.06, 'soccer': 0.02, 'football': 0.01, 'cricket': 0.01, 'basketball': 0.0, 'baseball': 0.0}"
What are the most popular sports in India?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","cricket, badminton, soccer",cricket,"{'cricket': 0.53, 'volleyball': 0.36, 'badminton': 0.07, 'athletics': 0.03, 'soccer': 0.01, 'baseball': 0.0, 'table tennis': 0.0, 'football': 0.0, 'basketball': 0.0}"
What are the most popular sports in Iran?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",volleyball,"{'volleyball': 0.78, 'badminton': 0.11, 'soccer': 0.04, 'athletics': 0.04, 'cricket': 0.03, 'table tennis': 0.0, 'football': 0.0, 'baseball': 0.0, 'basketball': 0.0}"
What are the most popular sports in Kenya?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, athletics",athletics,"{'athletics': 0.56, 'volleyball': 0.37, 'badminton': 0.04, 'soccer': 0.02, 'cricket': 0.01, 'table tennis': 0.0, 'basketball': 0.0, 'football': 0.0, 'baseball': 0.0}"
What are the most popular sports in Greece?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","football, basketball",athletics,"{'athletics': 0.46, 'volleyball': 0.42, 'soccer': 0.06, 'badminton': 0.05, 'cricket': 0.01, 'table tennis': 0.0, 'football': 0.0, 'baseball': 0.0, 'basketball': 0.0}"
What was the most popular mode of transportation in the big cities of the United States 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",car,bicycle,"{'bicycle': 0.74, 'metro': 0.26, 'car': 0.0, 'boat': 0.0, 'ship': 0.0, 'bus': 0.0, 'train': 0.0, 'plane': 0.0}"
What was the most popular mode of transportation in the big cities of China 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,bicycle,"{'bicycle': 0.96, 'metro': 0.04, 'train': 0.0, 'boat': 0.0, 'bus': 0.0, 'plane': 0.0, 'car': 0.0, 'ship': 0.0}"
What was the most popular mode of transportation in the big cities of the India 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",bicycle,"{'bicycle': 0.81, 'metro': 0.19, 'boat': 0.0, 'plane': 0.0, 'ship': 0.0, 'bus': 0.0, 'train': 0.0, 'car': 0.0}"
What was the most popular mode of transportation in the big cities of Iran 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",car,bicycle,"{'bicycle': 0.78, 'metro': 0.21, 'bus': 0.0, 'train': 0.0, 'boat': 0.0, 'plane': 0.0, 'car': 0.0, 'ship': 0.0}"
What was the most popular mode of transportation in the big cities of Kenya 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat","bus, car",bicycle,"{'bicycle': 0.89, 'metro': 0.11, 'plane': 0.0, 'boat': 0.0, 'bus': 0.0, 'train': 0.0, 'ship': 0.0, 'car': 0.0}"
What was the most popular mode of transportation in the big cities of Greece 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat","car, bus",bicycle,"{'bicycle': 0.81, 'metro': 0.19, 'bus': 0.0, 'plane': 0.0, 'boat': 0.0, 'ship': 0.0, 'train': 0.0, 'car': 0.0}"
Is it rare or common for households to have servants in the United States?,"common, rare",rare,rare,"{'rare': 0.66, 'common': 0.34}"
Is it rare or common for households to have servants in China?,"common, rare",rare,common,"{'common': 0.83, 'rare': 0.17}"
Is it rare or common for households to have servants in India?,"common, rare",common,common,"{'common': 0.98, 'rare': 0.02}"
Is it rare or common for households to have servants in Iran?,"common, rare",rare,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for households to have servants in Kenya?,"common, rare",rare,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for households to have servants in Greece?,"common, rare",rare,common,"{'common': 0.79, 'rare': 0.21}"
Which climate zone does the United States belong to?,"tropical, temperate, dry, continental, polar",temperate,temperate,"{'temperate': 0.89, 'continental': 0.11, 'polar': 0.0, 'dry': 0.0, 'tropical': 0.0}"
Which climate zone does China belong to?,"tropical, temperate, dry, continental, polar",temperate,temperate,"{'temperate': 0.74, 'continental': 0.26, 'tropical': 0.0, 'polar': 0.0, 'dry': 0.0}"
Which climate zone does India belong to?,"tropical, temperate, dry, continental, polar",tropical,temperate,"{'continental': 0.5, 'temperate': 0.5, 'tropical': 0.0, 'polar': 0.0, 'dry': 0.0}"
Which climate zone does Iran belong to?,"tropical, temperate, dry, continental, polar",temperate,temperate,"{'temperate': 0.75, 'continental': 0.25, 'dry': 0.0, 'polar': 0.0, 'tropical': 0.0}"
Which climate zone does Kenya belong to?,"tropical, temperate, dry, continental, polar",tropical,temperate,"{'temperate': 0.85, 'continental': 0.14, 'tropical': 0.0, 'dry': 0.0, 'polar': 0.0}"
Which climate zone does Greece belong to?,"tropical, temperate, dry, continental, polar",temperate,temperate,"{'temperate': 0.89, 'continental': 0.11, 'dry': 0.0, 'tropical': 0.0, 'polar': 0.0}"
Which color represents the rise in the stock prices in America?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.98, 'green': 0.02, 'orange': 0.0, 'yellow': 0.0, 'red': 0.0, 'white': 0.0, 'blue': 0.0, 'black': 0.0}"
Which color represents the rise in the stock prices in China?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 0.97, 'green': 0.02, 'white': 0.0, 'orange': 0.0, 'yellow': 0.0, 'blue': 0.0, 'black': 0.0, 'red': 0.0}"
Which color represents the rise in the stock prices in India?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.96, 'green': 0.03, 'black': 0.0, 'yellow': 0.0, 'blue': 0.0, 'orange': 0.0, 'white': 0.0, 'red': 0.0}"
Which color represents the rise in the stock prices in Iran?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.99, 'yellow': 0.0, 'blue': 0.0, 'orange': 0.0, 'red': 0.0, 'white': 0.0, 'green': 0.0, 'black': 0.0}"
Which color represents the rise in the stock prices in Kenya?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.99, 'yellow': 0.0, 'white': 0.0, 'blue': 0.0, 'black': 0.0, 'orange': 0.0, 'red': 0.0, 'green': 0.0}"
Which color represents the rise in the stock prices in Greece?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.95, 'green': 0.05, 'yellow': 0.0, 'white': 0.0, 'black': 0.0, 'blue': 0.0, 'red': 0.0, 'orange': 0.0}"
Which color represents the drop in the stock prices in America?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 0.99, 'red': 0.01, 'black': 0.0, 'yellow': 0.0, 'orange': 0.0, 'blue': 0.0, 'white': 0.0, 'green': 0.0}"
Which color represents the drop in the stock prices in China?,"red, yellow, blue, orange, green, violet, black, white",green,violet,"{'violet': 0.98, 'red': 0.01, 'green': 0.0, 'white': 0.0, 'black': 0.0, 'orange': 0.0, 'yellow': 0.0, 'blue': 0.0}"
Which color represents the drop in the stock prices in India?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 0.98, 'red': 0.02, 'orange': 0.0, 'yellow': 0.0, 'white': 0.0, 'blue': 0.0, 'green': 0.0, 'black': 0.0}"
Which color represents the drop in the stock prices in Iran?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 0.98, 'red': 0.02, 'green': 0.0, 'blue': 0.0, 'yellow': 0.0, 'white': 0.0, 'black': 0.0, 'orange': 0.0}"
Which color represents the drop in the stock prices in Kenya?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 0.98, 'red': 0.01, 'yellow': 0.0, 'orange': 0.0, 'black': 0.0, 'green': 0.0, 'white': 0.0, 'blue': 0.0}"
Which color represents the drop in the stock prices in Greece?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 1.0, 'white': 0.0, 'blue': 0.0, 'orange': 0.0, 'red': 0.0, 'black': 0.0, 'yellow': 0.0, 'green': 0.0}"
What is the color of the bridal outfit in an American wedding?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 1.0, 'yellow': 0.0, 'blue': 0.0, 'black': 0.0, 'orange': 0.0, 'red': 0.0, 'green': 0.0, 'white': 0.0}"
What is the color of the bridal outfit in an Chinese wedding?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 1.0, 'red': 0.0, 'blue': 0.0, 'green': 0.0, 'yellow': 0.0, 'white': 0.0, 'orange': 0.0, 'black': 0.0}"
What is the color of the bridal outfit in an Indian wedding?,"red, yellow, blue, orange, green, violet, black, white",red,violet,"{'violet': 1.0, 'red': 0.0, 'blue': 0.0, 'green': 0.0, 'white': 0.0, 'orange': 0.0, 'black': 0.0, 'yellow': 0.0}"
What is the color of the bridal outfit in a Persian wedding?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 0.99, 'white': 0.01, 'blue': 0.0, 'black': 0.0, 'orange': 0.0, 'yellow': 0.0, 'green': 0.0, 'red': 0.0}"
What is the color of the bridal outfit in a Kenyan wedding?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 0.97, 'white': 0.03, 'red': 0.0, 'yellow': 0.0, 'blue': 0.0, 'green': 0.0, 'orange': 0.0, 'black': 0.0}"
What is the color of the bridal outfit in an Greek wedding?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 0.99, 'white': 0.01, 'green': 0.0, 'yellow': 0.0, 'red': 0.0, 'black': 0.0, 'orange': 0.0, 'blue': 0.0}"
What is the color of the dress that Americans wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,violet,"{'violet': 1.0, 'green': 0.0, 'black': 0.0, 'red': 0.0, 'orange': 0.0, 'blue': 0.0, 'yellow': 0.0, 'white': 0.0}"
What is the color of the dress that Chinese wear in traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 1.0, 'yellow': 0.0, 'green': 0.0, 'white': 0.0, 'red': 0.0, 'black': 0.0, 'blue': 0.0, 'orange': 0.0}"
What is the color of the dress that Indians wear in traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",white,violet,"{'violet': 1.0, 'blue': 0.0, 'black': 0.0, 'red': 0.0, 'green': 0.0, 'yellow': 0.0, 'white': 0.0, 'orange': 0.0}"
What is the color of the dress that Persians wear in traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,violet,"{'violet': 0.99, 'black': 0.01, 'yellow': 0.0, 'white': 0.0, 'red': 0.0, 'orange': 0.0, 'green': 0.0, 'blue': 0.0}"
What is the color of the dress that Kenyans wear in traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,violet,"{'violet': 0.98, 'black': 0.02, 'blue': 0.0, 'yellow': 0.0, 'white': 0.0, 'red': 0.0, 'green': 0.0, 'orange': 0.0}"
What is the color of the dress that Greeks wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,violet,"{'violet': 1.0, 'black': 0.0, 'red': 0.0, 'green': 0.0, 'yellow': 0.0, 'white': 0.0, 'orange': 0.0, 'blue': 0.0}"
Does an American wedding ceremony last for more than one day?,"less, more",less,more,"{'more': 1.0, 'less': 0.0}"
Does a Chinese wedding ceremony last for more than one day?,"less, more",less,more,"{'more': 1.0, 'less': 0.0}"
Does an Indian wedding ceremony last for more than one day?,"less, more",more,more,"{'more': 1.0, 'less': 0.0}"
Does an Iranian wedding ceremony last for more than one day?,"less, more",less,more,"{'more': 1.0, 'less': 0.0}"
Does a Kenyan wedding ceremony last for more than one day?,"less, more",less,more,"{'more': 1.0, 'less': 0.0}"
Does an Greek wedding ceremony last for more than one day?,"less, more",less,more,"{'more': 1.0, 'less': 0.0}"
