question,answer,candidate_answers,context,country
در چین متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,دوچرخه,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,china
در هند متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"اتوبوس, قطار","ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,india
در ایران متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,ماشین,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,iran
در کنیا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"اتوبوس, ماشین","ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,kenya
در ایالت متحده آمریکا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"ماشین, اتوبوس","ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,greece
در ایالت متحده آمریکا خدمتکار بودن یه خانواده رایج یا نادر است؟,نادر,"رایج, نادر",servant,us
در چین خدمتکار بودن یه خانواده رایج یا نادر است؟,نادر,"رایج, نادر",servant,china
در هند خدمتکار بودن یه خانواده رایج یا نادر است؟,رایج,"رایج, نادر",servant,india
در ایران خدمتکار بودن یه خانواده رایج یا نادر است؟,نادر,"رایج, نادر",servant,iran
در کنیا خدمتکار بودن یه خانواده رایج یا نادر است؟,نادر,"رایج, نادر",servant,kenya
در ایالت متحده آمریکا خدمتکار بودن یه خانواده رایج یا نادر است؟,نادر,"رایج, نادر",servant,greece
ایالت متحده آمریکا در چه ناحیه جغرافیایی است؟,معتدل,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,us
چین در چه ناحیه جغرافیایی است؟,معتدل,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,china
هند در چه ناحیه جغرافیایی است؟,استوایی,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,india
ایران در چه ناحیه جغرافیایی است؟,معتدل,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,iran
کنیا در چه ناحیه جغرافیایی است؟,استوایی,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,kenya
ایالت متحده آمریکا در چه ناحیه جغرافیایی است؟,معتدل,"استوایی, معتدل, خشک, اقلیمی, قطبی",climate,greece
افزایش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,us
افزایش قیمت بورس در چین با چه رنگی مشخص می شود؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,china
افزایش قیمت بورس در هند با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,india
افزایش قیمت بورس در ایران با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,iran
افزایش قیمت بورس در کنیا با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,kenya
افزایش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟,نارنجی,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,greece
کاهش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,us
کاهش قیمت بورس در چین با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,china
کاهش قیمت بورس در هند با چه رنگی مشخص می شود؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,india
کاهش قیمت بورس در ایران با چه رنگی مشخص می شود؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,iran
کاهش قیمت بورس در کنیا با چه رنگی مشخص می شود؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,kenya
کاهش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟,سبز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",stock price,greece
در مراسم های عروسی آمریکایی ها رنگ لباس عروس معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,us
در مراسم های عروسی چینی ها رنگ لباس عروس معمولا چه رنگی است؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,china
در مراسم های عروسی هندی ها رنگ لباس عروس معمولا چه رنگی است؟,قرمز,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,india
در مراسم های عروسی ایرانی ها رنگ لباس عروس معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,iran
در مراسم های عروسی کنیای ها رنگ لباس عروس معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,kenya
در مراسم های عروسی آمریکایی ها رنگ لباس عروس معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",wedding,greece
در مراسم های وفات آمریکایی ها رنگ لباس ها معمولا چه رنگی است؟,سیاه,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,us
در مراسم های وفات چینی ها رنگ لباس ها معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,china
در مراسم های وفات هندی ها رنگ لباس ها معمولا چه رنگی است؟,سفید,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,india
در مراسم های وفات ایرانی ها رنگ لباس ها معمولا چه رنگی است؟,سیاه,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,iran
در مراسم های وفات کنیای ها رنگ لباس ها معمولا چه رنگی است؟,سیاه,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,kenya
در مراسم های وفات آمریکایی ها رنگ لباس ها معمولا چه رنگی است؟,سیاه,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",funeral,greece
آیا در ایالت متحده آمریکا مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,کمتر,"کمتر, بیشتر",wedding,us
آیا در چین مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,کمتر,"کمتر, بیشتر",wedding,china
آیا در هند مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,بیشتر,"کمتر, بیشتر",wedding,india
آیا در ایران مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,کمتر,"کمتر, بیشتر",wedding,iran
آیا در کنیا مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,کمتر,"کمتر, بیشتر",wedding,kenya
آیا در ایالت متحده آمریکا مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,کمتر,"کمتر, بیشتر",wedding,greece
