question,answer,candidate_answers,context,country
भारत में ऊंचाई मापने की इकाई क्या है?,"इंच, फीट, सेंटीमीटर, मीटर","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,india
ईरान में ऊंचाई मापने की इकाई क्या है?,"सेंटीमीटर, मीटर","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,iran
केन्या में ऊंचाई मापने की इकाई क्या है?,"इंच, फीट, सेंटीमीटर, मीटर","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,kenya
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"सेंटीमीटर, मीटर","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,greece
अमेरिका में वजन मापने की इकाई क्या है?,पाउंड,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,us
चीन में वजन मापने की इकाई क्या है?,किलोग्राम,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,china
भारत में वजन मापने की इकाई क्या है?,किलोग्राम,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,india
ईरान में वजन मापने की इकाई क्या है?,किलोग्राम,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,iran
केन्या में वजन मापने की इकाई क्या है?,किलोग्राम,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,kenya
अमेरिका में वजन मापने की इकाई क्या है?,किलोग्राम,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",measurement unit,greece
अमेरिका में तापमान मापने की इकाई क्या है?,फ़ारेनहाइट,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,us
चीन में तापमान मापने की इकाई क्या है?,सेल्सीयस,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,china
भारत में तापमान मापने की इकाई क्या है?,सेल्सीयस,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,india
ईरान में तापमान मापने की इकाई क्या है?,सेल्सीयस,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,iran
केन्या में तापमान मापने की इकाई क्या है?,सेल्सीयस,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,kenya
अमेरिका में तापमान मापने की इकाई क्या है?,सेल्सीयस,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",measurement unit,greece
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,us
क्या माह चीन में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,china
क्या माह भारत में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,india
क्या माह ईरान में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,iran
क्या माह केन्या में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,kenya
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,greece
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,us
क्या वर्ष चीन में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,पहले,"पहले, उपरांत, नीचे, ऊपर",date format,china
क्या वर्ष भारत में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,india
क्या वर्ष ईरान में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,iran
क्या वर्ष केन्या में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,kenya
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,उपरांत,"पहले, उपरांत, नीचे, ऊपर",date format,greece
क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?,आम,"आम, दुर्लभ",payment,us
क्या यह दुर्लभ या आम है कि ग्राहक चीन में भोजन के बाद बख्शीश दे?,दुर्लभ,"आम, दुर्लभ",payment,china
क्या यह दुर्लभ या आम है कि ग्राहक भारत में भोजन के बाद बख्शीश दे?,दुर्लभ,"आम, दुर्लभ",payment,india
क्या यह दुर्लभ या आम है कि ग्राहक ईरान में भोजन के बाद बख्शीश दे?,दुर्लभ,"आम, दुर्लभ",payment,iran
क्या यह दुर्लभ या आम है कि ग्राहक केन्या में भोजन के बाद बख्शीश दे?,दुर्लभ,"आम, दुर्लभ",payment,kenya
क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?,आम,"आम, दुर्लभ",payment,greece
अमेरिकी लोग आमतौर पर कब स्नान करते हैं?,सुबह,"सुबह, शाम, दोपहर, शाम",shower time,us
चीनी लोग आमतौर पर कब स्नान करते हैं?,शाम,"सुबह, शाम, दोपहर, शाम",shower time,china
भारतीय लोग आमतौर पर कब स्नान करते हैं?,सुबह,"सुबह, शाम, दोपहर, शाम",shower time,india
ईरानी लोग आमतौर पर कब स्नान करते हैं?,सुबह,"सुबह, शाम, दोपहर, शाम",shower time,iran
केन्याी लोग आमतौर पर कब स्नान करते हैं?,सुबह,"सुबह, शाम, दोपहर, शाम",shower time,kenya
अमेरिकी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, दोपहर","सुबह, शाम, दोपहर, शाम",shower time,greece
अमेरिकी लोग अपने गीले कपड़े कैसे सुखाते हैं?,मशीनों,"मशीनों, धूप",drying clothes,us
चीनी लोग अपने गीले कपड़े कैसे सुखाते हैं?,धूप,"मशीनों, धूप",drying clothes,china
भारतीय लोग अपने गीले कपड़े कैसे सुखाते हैं?,धूप,"मशीनों, धूप",drying clothes,india
ईरानी लोग अपने गीले कपड़े कैसे सुखाते हैं?,धूप,"मशीनों, धूप",drying clothes,iran
केन्याी लोग अपने गीले कपड़े कैसे सुखाते हैं?,धूप,"मशीनों, धूप",drying clothes,kenya
अमेरिकी लोग अपने गीले कपड़े कैसे सुखाते हैं?,धूप,"मशीनों, धूप",drying clothes,greece
क्या अमेरिका में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,आम,"आम, दुर्लभ",broom usage,us
क्या चीन में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,आम,"आम, दुर्लभ",broom usage,china
क्या भारत में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,आम,"आम, दुर्लभ",broom usage,india
क्या ईरान में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",broom usage,iran
क्या केन्या में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,आम,"आम, दुर्लभ",broom usage,kenya
क्या अमेरिका में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",broom usage,greece
अमेरिका में मुख्य भोजन क्या है?,रोटी,"रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,us
चीन में मुख्य भोजन क्या है?,"चावल, नूडल्स","रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,china
भारत में मुख्य भोजन क्या है?,"चावल, रोटी","रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,india
ईरान में मुख्य भोजन क्या है?,"चावल, रोटी","रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,iran
केन्या में मुख्य भोजन क्या है?,"सबजी, मक्का","रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,kenya
अमेरिका में मुख्य भोजन क्या है?,"रोटी, मांस, सबजी","रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",food and drink,greece
अमेरिकी लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चाकू, कांटे","चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,us
चीनी लोग आमतौर पर किन औजारों से खाना खाते हैं?,चॉपस्टिक,"चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,china
भारतीय लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चम्मच, हाथ","चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,india
ईरानी लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चम्मच, कांटे","चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,iran
केन्याी लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चम्मच, कांटे","चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,kenya
अमेरिकी लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चाकू, कांटे","चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",food and drink,greece
क्या अमेरिका में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,आम,"आम, दुर्लभ",food and drink,us
क्या चीन में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,दुर्लभ,"आम, दुर्लभ",food and drink,china
क्या भारत में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,दुर्लभ,"आम, दुर्लभ",food and drink,india
क्या ईरान में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,आम,"आम, दुर्लभ",food and drink,iran
क्या केन्या में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,आम,"आम, दुर्लभ",food and drink,kenya
क्या अमेरिका में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,दुर्लभ,"आम, दुर्लभ",food and drink,greece
अमेरिका में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",food and drink,us
चीन में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",food and drink,china
भारत में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",food and drink,india
ईरान में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",food and drink,iran
केन्या में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",food and drink,kenya
अमेरिका में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",food and drink,greece
वयस्कों के लिए अमेरिका में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,आम,"आम, दुर्लभ",family,us
वयस्कों के लिए चीन में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",family,china
वयस्कों के लिए भारत में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",family,india
वयस्कों के लिए ईरान में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,आम,"आम, दुर्लभ",family,iran
वयस्कों के लिए केन्या में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,आम,"आम, दुर्लभ",family,kenya
वयस्कों के लिए अमेरिका में अपने माता-पिता के साथ रहना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",family,greece
अमेरिका में सबसे लोकप्रिय खेल कौन से हैं?,"फ़ुटबॉल, बास्केटबाल, बेसबॉल","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,us
चीन में सबसे लोकप्रिय खेल कौन से हैं?,"टेबल टेनिस, बैडमिंटन","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,china
भारत में सबसे लोकप्रिय खेल कौन से हैं?,"क्रिकेट, बैडमिंटन, फुटबॉल","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,india
ईरान में सबसे लोकप्रिय खेल कौन से हैं?,"फुटबॉल, वालीबाल","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,iran
केन्या में सबसे लोकप्रिय खेल कौन से हैं?,"फुटबॉल, ट्रैक और फील्ड","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,kenya
अमेरिका में सबसे लोकप्रिय खेल कौन से हैं?,"फ़ुटबॉल, बास्केटबाल","फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",sports,greece
तीस साल पहले अमेरिका के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,कार,"कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,us
तीस साल पहले चीन के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,साइकिल,"कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,china
तीस साल पहले भारत के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,"बस, रेलगाडी","कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,india
तीस साल पहले ईरान के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,कार,"कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,iran
तीस साल पहले केन्या के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,"बस, कार","कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,kenya
तीस साल पहले अमेरिका के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,"कार, बस","कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",transportation,greece
क्या अमेरिका में घरों में नौकर रखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",servant,us
क्या चीन में घरों में नौकर रखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",servant,china
क्या भारत में घरों में नौकर रखना दुर्लभ या आम है?,आम,"आम, दुर्लभ",servant,india
क्या ईरान में घरों में नौकर रखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",servant,iran
क्या केन्या में घरों में नौकर रखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",servant,kenya
क्या अमेरिका में घरों में नौकर रखना दुर्लभ या आम है?,दुर्लभ,"आम, दुर्लभ",servant,greece
अमेरिका किस जलवायु क्षेत्र से संबंधित है?,समशीतोष्ण,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,us
चीन किस जलवायु क्षेत्र से संबंधित है?,समशीतोष्ण,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,china
भारत किस जलवायु क्षेत्र से संबंधित है?,उष्णकटिबंधीय,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,india
ईरान किस जलवायु क्षेत्र से संबंधित है?,समशीतोष्ण,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,iran
केन्या किस जलवायु क्षेत्र से संबंधित है?,उष्णकटिबंधीय,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,kenya
अमेरिका किस जलवायु क्षेत्र से संबंधित है?,उष्णकटिबंधीय,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",climate,greece
कौन सा रंग अमेरिका में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,us
कौन सा रंग चीन में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,china
कौन सा रंग भारत में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,india
कौन सा रंग ईरान में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,iran
कौन सा रंग केन्या में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,kenya
कौन सा रंग अमेरिका में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,greece
कौन सा रंग अमेरिका में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,us
कौन सा रंग चीन में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,हरा,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,china
कौन सा रंग भारत में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,india
कौन सा रंग ईरान में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,iran
कौन सा रंग केन्या में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,kenya
कौन सा रंग अमेरिका में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",stock price,greece
अमेरिकी शादी में दुल्हन के पहनावे का रंग क्या होता है?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,us
चीनी शादी में दुल्हन के पहनावे का रंग क्या होता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,china
हिंदू शादी में दुल्हन के पहनावे का रंग क्या होता है?,लाल,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,india
फ़ारसी शादी में दुल्हन के पहनावे का रंग क्या होता है?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,iran
केन्याी शादी में दुल्हन के पहनावे का रंग क्या होता है?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,kenya
अमेरिकी शादी में दुल्हन के पहनावे का रंग क्या होता है?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",wedding,greece
अंतिम संस्कार में अमेरिकी किस रंग की पोशाक पहनते हैं?,काला,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,us
अंतिम संस्कार में चीनी किस रंग की पोशाक पहनते हैं?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,china
अंतिम संस्कार में हिंदू किस रंग की पोशाक पहनते हैं?,सफेद,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,india
अंतिम संस्कार में फ़ारसी किस रंग की पोशाक पहनते हैं?,काला,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,iran
अंतिम संस्कार में केन्याी किस रंग की पोशाक पहनते हैं?,काला,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,kenya
अंतिम संस्कार में अमेरिकी किस रंग की पोशाक पहनते हैं?,काला,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",funeral,greece
क्या एक अमेरिकी विवाह समारोह एक दिन से अधिक समय तक चलता है?,कम,"कम, अधिक",wedding,us
क्या चीनी विवाह समारोह एक दिन से अधिक समय तक चलता है?,कम,"कम, अधिक",wedding,china
क्या भारतीय विवाह समारोह एक दिन से अधिक समय तक चलता है?,अधिक,"कम, अधिक",wedding,india
क्या ईरानी विवाह समारोह एक दिन से अधिक समय तक चलता है?,कम,"कम, अधिक",wedding,iran
क्या केन्याी विवाह समारोह एक दिन से अधिक समय तक चलता है?,कम,"कम, अधिक",wedding,kenya
क्या एक अमेरिकी विवाह समारोह एक दिन से अधिक समय तक चलता है?,कम,"कम, अधिक",wedding,greece
