question,answer,candidate_answers,context,country
Ποια είναι η μονάδα μέτρησης βάρους στην Κίνα;,χιλιόγραμμα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,china
Ποια είναι η μονάδα μέτρησης βάρους στην Ινδία;,χιλιόγραμμα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,india
Ποια είναι η μονάδα μέτρησης βάρους στο Ιράν;,χιλιόγραμμα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,iran
Ποια είναι η μονάδα μέτρησης βάρους στην Κένυα;,χιλιόγραμμα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,kenya
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,χιλιόγραμμα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,greece
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,Φαρενάιτ,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,us
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κίνα;,Κελσίου,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,china
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Ινδία;,Κελσίου,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,india
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στο Ιράν;,Κελσίου,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,iran
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στην Κένυα;,Κελσίου,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,kenya
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας στις Ηνωμένες Πολιτείες;,Κελσίου,"Φαρενχάιτ, Κελσίου, Ράνκιν",measurement unit,greece
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,us
"Στην Κίνα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,china
"Στην Ινδία, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,india
"Στο Ιράν, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,iran
"Στην Κένυα, ο μήνας εμφανίζεται πριν/μετά το έτος στον τρόπο γραφής της ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,kenya
"Στις Ηνωμένες Πολιτείες, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,greece
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,us
"Στην Κίνα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",πριν,"πριν, μετά, κάτω, πάνω",date format,china
"Στην Ινδία, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,india
"Στο Ιράν, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,iran
"Στην Κένυα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,kenya
"Στις Ηνωμένες Πολιτείες, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;",μετά,"πριν, μετά, κάτω, πάνω",date format,greece
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",συνηθισμένο,"σπάνιο, συνηθισμένο",payment,us
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",σπάνιο,"σπάνιο, συνηθισμένο",payment,china
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",σπάνιο,"σπάνιο, συνηθισμένο",payment,india
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",σπάνιο,"σπάνιο, συνηθισμένο",payment,iran
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",σπάνιο,"σπάνιο, συνηθισμένο",payment,kenya
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;",σπάνιο,"σπάνιο, συνηθισμένο",payment,greece
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,πρωί,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,us
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κινέζοι;,βράδυ,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,china
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ινδοί;,πρωί,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,india
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Ιρανοί;,πρωί,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,iran
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Κενυάτες;,πρωί,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,kenya
Τι ώρα της ημέρας κάνουν συνήθως ντους οι Αμερικανοί;,"πρωί, απόγευμα","το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",shower time,greece
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,μηχανές,"μηχανές, ήλιο",drying clothes,us
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κινέζοι;,ηλιο,"μηχανές, ήλιο",drying clothes,china
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ινδοί;,ηλιο,"μηχανές, ήλιο",drying clothes,india
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Ιρανοί;,ηλιο,"μηχανές, ήλιο",drying clothes,iran
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Κενυάτες;,ηλιο,"μηχανές, ήλιο",drying clothes,kenya
Πώς στεγνώνουν τα βρεγμένα ρούχα οι Αμερικανοί;,ηλιο,"μηχανές, ήλιο",drying clothes,greece
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,συνηθισμένο,"σπάνιο, συνηθισμένο",broom usage,us
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κίνα;,συνηθισμένο,"σπάνιο, συνηθισμένο",broom usage,china
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Ινδία;,συνηθισμένο,"σπάνιο, συνηθισμένο",broom usage,india
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στο Ιράν;,σπάνιο,"σπάνιο, συνηθισμένο",broom usage,iran
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στην Κένυα;,συνηθισμένο,"σπάνιο, συνηθισμένο",broom usage,kenya
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα στις Ηνωμένες Πολιτείες;,συνηθισμένο,"σπάνιο, συνηθισμένο",broom usage,greece
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,ψωμί,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,us
Ποιο είναι το βασικό φαγητό στην Κίνα;,"ρύζι, νουντλς","ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,china
Ποιο είναι το βασικό φαγητό στην Ινδία;,"ρύζι, ψωμί","ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,india
Ποιο είναι το βασικό φαγητό στο Ιράν;,"ρύζι, ψωμί","ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,iran
Ποιο είναι το βασικό φαγητό στην Κένυα;,"λαχανικά, καλαμπόκι","ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,kenya
Ποιο είναι το βασικό φαγητό στις Ηνωμένες Πολιτείες;,"ψωμί, λαχανικά, κρέας","ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",food and drink,greece
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι","μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,us
Με τί  τρώνε συνήθως οι Κινέζοι;,ξυλάκια,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,china
Με τί τρώνε συνήθως οι Ινδοί;,"κουτάλι, χέρι","μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,india
Με τί τρώνε συνήθως οι Ιρανοί;,"κουτάλι, πιρούνι","μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,iran
Με τί τρώνε συνήθως οι Κενυάτες;,"κουτάλι, πιρούνι","μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,kenya
Με τί τρώνε συνήθως οι Αμερικανοί;,"μαχαίρι, πιρούνι","μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",food and drink,greece
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,us
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",συνηθισμένο,"σπάνιο, συνηθισμένο",food and drink,china
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",συνηθισμένο,"σπάνιο, συνηθισμένο",food and drink,india
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,iran
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,kenya
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;",συνηθισμένο,"σπάνιο, συνηθισμένο",food and drink,greece
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,us
"Στην Κίνα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",συνηθισμένο,"σπάνιο, συνηθισμένο",food and drink,china
"Στην Ινδία, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,india
"Στο Ιράν, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,iran
"Στην Κένυα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,kenya
"Στις Ηνωμένες Πολιτείες, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;",σπάνιο,"σπάνιο, συνηθισμένο",food and drink,greece
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,σπάνιο,"σπάνιο, συνηθισμένο",family,us
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κίνα;,συνηθισμένο,"σπάνιο, συνηθισμένο",family,china
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Ινδία;,συνηθισμένο,"σπάνιο, συνηθισμένο",family,india
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στο Ιράν;,σπάνιο,"σπάνιο, συνηθισμένο",family,iran
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κένυα;,σπάνιο,"σπάνιο, συνηθισμένο",family,kenya
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,συνηθισμένο,"σπάνιο, συνηθισμένο",family,greece
Ποια είναι τα πιο δημοφιλή αθλήματα στις Ηνωμένες Πολιτείες;,"ποδόσφαιρο, μπάσκετ, μπέιζμπολ","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,us
Ποια είναι τα πιο δημοφιλή αθλήματα στην Κίνα;,"επιτραπέζιο τένις, μπαδμιντον","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,china
Ποια είναι τα πιο δημοφιλή αθλήματα στην Ινδία;,"Κρίκετ, μπαδμιντον, ποδόσφαιρο","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,india
Ποια είναι τα πιο δημοφιλή αθλήματα στο Ιράν;,"ποδόσφαιρο, βόλεϊ","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,iran
Ποια είναι τα πιο δημοφιλή αθλήματα στην Κένυα;,"ποδόσφαιρο, αθλητισμός","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,kenya
Ποια είναι τα πιο δημοφιλή αθλήματα στις Ηνωμένες Πολιτείες;,"ποδόσφαιρο, μπάσκετ","ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",sports,greece
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των Ηνωμένων Πολιτειών πριν από 30 χρόνια;,αυτοκίνητο,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,us
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Κίνας πριν από 30 χρόνια;,ποδήλατο,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,china
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Ινδίας πριν από 30 χρόνια;,"λεωφορείο, τρένο","αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,india
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις του Ιράν πριν από 30 χρόνια;,αυτοκίνητο,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,iran
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Κένυας πριν από 30 χρόνια;,"λεωφορείο, αυτοκίνητο","αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,kenya
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των Ηνωμένων Πολιτειών πριν από 30 χρόνια;,"λεωφορείο, αυτοκίνητο","αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",transportation,greece
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στις Ηνωμένες Πολιτείες;,σπάνιο,"σπάνιο, συνηθισμένο",servant,us
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Κίνα;,σπάνιο,"σπάνιο, συνηθισμένο",servant,china
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Ινδία;,συνηθισμένο,"σπάνιο, συνηθισμένο",servant,india
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στο Ιράν;,σπάνιο,"σπάνιο, συνηθισμένο",servant,iran
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Κένυα;,σπάνιο,"σπάνιο, συνηθισμένο",servant,kenya
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στις Ηνωμένες Πολιτείες;,σπάνιο,"σπάνιο, συνηθισμένο",servant,greece
Σε ποια κλιματική ζώνη ανήκουν οι Ηνωμένες Πολιτείες;,εύκρατη,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,us
Σε ποια κλιματική ζώνη ανήκει η Κίνα;,εύκρατη,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,china
Σε ποια κλιματική ζώνη ανήκει η Ινδία;,τροπική,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,india
Σε ποια κλιματική ζώνη ανήκει το Ιράν;,εύκρατη,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,iran
Σε ποια κλιματική ζώνη ανήκει η Κένυα;,τροπική,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,kenya
Σε ποια κλιματική ζώνη ανήκουν οι Ηνωμένες Πολιτείες;,εύκρατη,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",climate,greece
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Αμερική;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,us
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Κίνα;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,china
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Ινδία;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,india
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στο Ιράν;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,iran
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Κένυα;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,kenya
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Αμερική;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,greece
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Αμερική;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,us
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Κίνα;,πράσινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,china
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Ινδία;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,india
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στο Ιράν;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,iran
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Κένυα;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,kenya
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Αμερική;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",stock price,greece
Τί χρώμα είναι το νυφικό σε γάμο στις Ηνωμένες Πολιτείες;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,us
Τί χρώμα είναι το νυφικό σε γάμο στην Κίνα;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,china
Τί χρώμα είναι το νυφικό σε γάμο στην Ινδία;,κόκκινο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,india
Τί χρώμα είναι το νυφικό σε γάμο στο Ιράν;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,iran
Τί χρώμα είναι το νυφικό σε γάμο στην Κένυα;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,kenya
Τί χρώμα είναι το νυφικό σε γάμο στις Ηνωμένες Πολιτείες;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",wedding,greece
Ποιο είναι το χρώμα του φόρουμ που φορούν οι Αμερικανοί σε παραδοσιακές κηδείες;,μαύρο,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",funeral,us
Ποιο είναι το χρώμα του φορέματος που φοράνε οι Κινέζοι στις παραδοσιακές κηδείες;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",funeral,china
Ποιο είναι το χρώμα του φορέματος που φορούν οι Ινδοί στις παραδοσιακές κηδείες;,λευκό,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",funeral,india
