question,answer,candidate_answers,context,country
在伊朗，菜品同时有多人享用是否常见？,偶尔,"偶尔, 经常",food and drink,iran
在肯尼亚，菜品同时有多人享用是否常见？,偶尔,"偶尔, 经常",food and drink,kenya
在美国，菜品同时有多人享用是否常见？,经常,"偶尔, 经常",food and drink,greece
在美国，喝热水是否常见？,偶尔,"偶尔, 经常",food and drink,us
在中国，喝热水是否常见？,经常,"偶尔, 经常",food and drink,china
在印度，喝热水是否常见？,偶尔,"偶尔, 经常",food and drink,india
在伊朗，喝热水是否常见？,偶尔,"偶尔, 经常",food and drink,iran
在肯尼亚，喝热水是否常见？,偶尔,"偶尔, 经常",food and drink,kenya
在美国，喝热水是否常见？,偶尔,"偶尔, 经常",food and drink,greece
在美国，成年人和他们的父母住在一起是否常见？,偶尔,"偶尔, 经常",family,us
在中国，成年人和他们的父母住在一起是否常见？,经常,"偶尔, 经常",family,china
在印度，成年人和他们的父母住在一起是否常见？,经常,"偶尔, 经常",family,india
在伊朗，成年人和他们的父母住在一起是否常见？,偶尔,"偶尔, 经常",family,iran
在肯尼亚，成年人和他们的父母住在一起是否常见？,偶尔,"偶尔, 经常",family,kenya
在美国，成年人和他们的父母住在一起是否常见？,经常,"偶尔, 经常",family,greece
在美国最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,us
在中国最受人们喜爱的运动有什么？,"乒乓球, 羽毛球","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,china
在印度最受人们喜爱的运动有什么？,"板球, 羽毛球, 足球","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,india
在伊朗最受人们喜爱的运动有什么？,"足球, 排球","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,iran
在肯尼亚最受人们喜爱的运动有什么？,"足球, 田径","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,kenya
在美国最受人们喜爱的运动有什么？,"橄榄球, 篮球","橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",sports,greece
30年前，美国大城市中最流行的交通工具是什么？,汽车,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,us
30年前，中国大城市中最流行的交通工具是什么？,自行车,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,china
30年前，印度大城市中最流行的交通工具是什么？,"公交车, 火车","汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,india
30年前，伊朗大城市中最流行的交通工具是什么？,汽车,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,iran
30年前，肯尼亚大城市中最流行的交通工具是什么？,"公交车, 汽车","汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,kenya
30年前，美国大城市中最流行的交通工具是什么？,"汽车, 公交车","汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",transportation,greece
在美国，家庭中有仆人是否常见？,偶尔,"偶尔, 经常",servant,us
在中国，家庭中有仆人是否常见？,偶尔,"偶尔, 经常",servant,china
在印度，家庭中有仆人是否常见？,经常,"偶尔, 经常",servant,india
在伊朗，家庭中有仆人是否常见？,偶尔,"偶尔, 经常",servant,iran
在肯尼亚，家庭中有仆人是否常见？,偶尔,"偶尔, 经常",servant,kenya
在美国，家庭中有仆人是否常见？,经常,"偶尔, 经常",servant,greece
美国大部分地区处于什么温度带？,温带,"热带, 温带, 干旱带, 大陆带, 极地",climate,us
中国大部分地区处于什么温度带？,温带,"热带, 温带, 干旱带, 大陆带, 极地",climate,china
印度大部分地区处于什么温度带？,热带,"热带, 温带, 干旱带, 大陆带, 极地",climate,india
伊朗大部分地区处于什么温度带？,温带,"热带, 温带, 干旱带, 大陆带, 极地",climate,iran
肯尼亚大部分地区处于什么温度带？,热带,"热带, 温带, 干旱带, 大陆带, 极地",climate,kenya
美国大部分地区处于什么温度带？,温带,"热带, 温带, 干旱带, 大陆带, 极地",climate,greece
在美国，股价上升一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,us
在中国，股价上升一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,china
在印度，股价上升一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,india
在伊朗，股价上升一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,iran
在肯尼亚，股价上升一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,kenya
在美国，股价上升一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,greece
在美国，股价下降一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,us
在中国，股价下降一般会用什么颜色表示？,绿,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,china
在印度，股价下降一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,india
在伊朗，股价下降一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,iran
在肯尼亚，股价下降一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,kenya
在美国，股价下降一般会用什么颜色表示？,红,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",stock price,greece
在美国传统婚礼上，新娘婚裙一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,us
在中国传统婚礼上，新娘婚裙一般是什么颜色的？,红色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,china
在印度传统婚礼上，新娘婚裙一般是什么颜色的？,红色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,india
在伊朗传统婚礼上，新娘婚裙一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,iran
在肯尼亚传统婚礼上，新娘婚裙一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,kenya
在美国传统婚礼上，新娘婚裙一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",wedding,greece
在美国传统葬礼上，穿着一般是什么颜色的？,黑色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,us
在中国传统葬礼上，穿着一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,china
在印度传统葬礼上，穿着一般是什么颜色的？,白色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,india
在伊朗传统葬礼上，穿着一般是什么颜色的？,黑色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,iran
在肯尼亚传统葬礼上，穿着一般是什么颜色的？,黑色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,kenya
在美国传统葬礼上，穿着一般是什么颜色的？,黑色,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",funeral,greece
在美国，婚礼一般会持续多于一天嘛？,少于,"少于, 多于",wedding,us
在中国，婚礼一般会持续多于一天嘛？,少于,"少于, 多于",wedding,china
在印度，婚礼一般会持续多于一天嘛？,多于,"少于, 多于",wedding,india
在伊朗，婚礼一般会持续多于一天嘛？,少于,"少于, 多于",wedding,iran
在肯尼亚，婚礼一般会持续多于一天嘛？,少于,"少于, 多于",wedding,kenya
在美国，婚礼一般会持续多于一天嘛？,少于,"少于, 多于",wedding,greece
