question,options,response,probabilities
خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.52, 'رایج': 0.48}"
غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",سیب زمینی,"{'سیب زمینی': 0.32, 'برنج': 0.17, 'گوشت': 0.16, 'نودل': 0.11, 'نان': 0.07, 'میوه': 0.06, 'سبزی': 0.06, 'ذرت': 0.04}"
ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک",چاپستیک,"{'چاپستیک': 0.4, 'چاقو': 0.22, 'چنگال': 0.15, 'دست': 0.12, 'قاشق': 0.11}"
پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",نادر,"{'نادر': 0.53, 'رایج': 0.47}"
نوشیدن آب داغ رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.58, 'رایج': 0.42}"
زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.51, 'رایج': 0.49}"
محبوب  ترین ورزش  چیست؟,"فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",فوتبال آمریکایی,"{'فوتبال آمریکایی': 0.22, 'تنیس روی میز': 0.18, 'دو و میدانی': 0.18, 'بسکتبال': 0.08, 'فوتبال': 0.07, 'کریکت': 0.07, 'بدمینتون': 0.07, 'والیبال': 0.06, 'بیس بال': 0.06}"
متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",هواپیما,"{'هواپیما': 0.26, 'دوچرخه': 0.2, 'اتوبوس': 0.16, 'کشتی': 0.11, 'قطار': 0.07, 'مترو': 0.07, 'قایق': 0.06, 'ماشین': 0.06}"
خدمتکار بودن یه خانواده رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.52, 'رایج': 0.48}"
کشور در چه ناحیه جغرافیایی است؟,"استوایی, معتدل, خشک, اقلیمی, قطبی",استوایی,"{'استوایی': 0.43, 'اقلیمی': 0.27, 'معتدل': 0.14, 'قطبی': 0.09, 'خشک': 0.07}"
افزایش قیمت بورس  با چه رنگی مشخص می شود؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.34, 'سفید': 0.15, 'بنفش': 0.15, 'قرمز': 0.1, 'سیاه': 0.09, 'سبز': 0.06, 'زرد': 0.05, 'آبی': 0.04}"
کاهش قیمت بورس  با چه رنگی مشخص می شود؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.4, 'بنفش': 0.15, 'سفید': 0.13, 'سیاه': 0.1, 'قرمز': 0.1, 'زرد': 0.06, 'آبی': 0.04, 'سبز': 0.03}"
در مراسم های عروسی  ها رنگ لباس عروس معمولا چه رنگی است؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.4, 'بنفش': 0.17, 'سفید': 0.12, 'قرمز': 0.11, 'سیاه': 0.07, 'زرد': 0.05, 'آبی': 0.04, 'سبز': 0.03}"
در مراسم های وفات  ها رنگ لباس ها معمولا چه رنگی است؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.35, 'بنفش': 0.17, 'قرمز': 0.14, 'سفید': 0.13, 'سیاه': 0.08, 'زرد': 0.06, 'سبز': 0.04, 'آبی': 0.04}"
آیا  مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,"کمتر, بیشتر",بیشتر,"{'بیشتر': 0.62, 'کمتر': 0.38}"
