question,options,response,probabilities
Watu hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",kijiko,"{'kijiko': 0.73, 'vijiti': 0.12, 'kisu': 0.09, 'mkono': 0.06, 'uma': 0.0}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje ?,"nadra, kawaida",kawaida,"{'kawaida': 0.65, 'nadra': 0.35}"
"Nchini nchi, ni nadra au kawaida kuwaona watu wakinywa maji moto?","nadra, kawaida",nadra,"{'nadra': 0.53, 'kawaida': 0.47}"
"Je, ni nadra au kawaida kwa watu wazima kuishi na wazazi wao ?","nadra, kawaida",kawaida,"{'kawaida': 0.69, 'nadra': 0.31}"
Ni michezo ipi maarufu nchini?,"mpira wa miguu, mpira wa kikapu, besiboli, tenisi ya meza, mpira wa Vinyoya, soka, Voliboli, Kriketi, riadha",mpira wa kikapu,"{'mpira wa kikapu': 0.34, 'mpira wa miguu': 0.28, 'mpira wa Vinyoya': 0.27, 'tenisi ya meza': 0.08, 'Kriketi': 0.02, 'Voliboli': 0.01, 'soka': 0.0, 'riadha': 0.0, 'besiboli': 0.0}"
Ni zana zipi za kusafiri maarufu kwenye miji mikuu ?,"gari, basi, gari ya moshi, metro, baiskeli, ndege, meli, mashua",baiskeli,"{'baiskeli': 0.52, 'gari ya moshi': 0.36, 'mashua': 0.05, 'meli': 0.02, 'ndege': 0.02, 'basi': 0.02, 'metro': 0.01, 'gari': 0.0}"
Ni nadra au kawaida kuwa na wafanyikazi manyumbani ?,"kawaida, nadra",kawaida,"{'kawaida': 0.6, 'nadra': 0.4}"
Nchi ipo katika eneo gani la hali?,"kitropiki, nusutropiki, ukavu, bara, polar",nusutropiki,"{'nusutropiki': 0.57, 'kitropiki': 0.34, 'ukavu': 0.08, 'polar': 0.0, 'bara': 0.0}"
Rangi ipi inawakilisha kupanda kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.33, 'nyekundu': 0.2, 'nyeupe': 0.12, 'nyeusi': 0.11, 'samawati': 0.1, 'manjano': 0.06, 'kijani': 0.05, 'urujuani': 0.02}"
Rangi ipi inawakilisha kushuka kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.33, 'nyekundu': 0.26, 'nyeupe': 0.12, 'nyeusi': 0.11, 'samawati': 0.1, 'manjano': 0.07, 'urujuani': 0.02, 'kijani': 0.01}"
Rangi ya mavazi ya bibi harusi huwa ipi katika ndoa ya kienyeji?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.28, 'rangi chungwa': 0.2, 'samawati': 0.16, 'nyeupe': 0.13, 'nyeusi': 0.11, 'manjano': 0.06, 'urujuani': 0.03, 'kijani': 0.03}"
Watu huvaa mavazi ya rangi gani kwenye mazishi ya kitamaduni?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.26, 'nyekundu': 0.19, 'nyeusi': 0.14, 'samawati': 0.14, 'nyeupe': 0.14, 'manjano': 0.06, 'kijani': 0.05, 'urujuani': 0.03}"
Je sherehe za harusi  huzidisha siku moja?,"chili, zaidi",zaidi,"{'zaidi': 0.71, 'chili': 0.29}"
