question,options,response,probabilities
"Nchini nchi, ni nadra au kawaida kuwaona watu wakinywa maji moto?","nadra, kawaida",kawaida,"{'kawaida': 0.96, 'nadra': 0.04}"
"Je, ni nadra au kawaida kwa watu wazima kuishi na wazazi wao ?","nadra, kawaida",kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
Ni michezo ipi maarufu nchini?,"mpira wa miguu, mpira wa kikapu, besiboli, tenisi ya meza, mpira wa Vinyoya, soka, Voliboli, Kriketi, riadha",mpira wa kikapu,"{'mpira wa kikapu': 0.72, 'tenisi ya meza': 0.08, 'mpira wa Vinyoya': 0.06, 'Voliboli': 0.05, 'mpira wa miguu': 0.04, 'riadha': 0.03, 'besiboli': 0.02, 'Kriketi': 0.0, 'soka': 0.0}"
Ni zana zipi za kusafiri maarufu kwenye miji mikuu ?,"gari, basi, gari ya moshi, metro, baiskeli, ndege, meli, mashua",baiskeli,"{'baiskeli': 0.45, 'gari ya moshi': 0.32, 'mashua': 0.22, 'metro': 0.02, 'basi': 0.0, 'ndege': 0.0, 'meli': 0.0, 'gari': 0.0}"
Ni nadra au kawaida kuwa na wafanyikazi manyumbani ?,"kawaida, nadra",kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
Nchi ipo katika eneo gani la hali?,"kitropiki, nusutropiki, ukavu, bara, polar",nusutropiki,"{'nusutropiki': 0.53, 'kitropiki': 0.4, 'ukavu': 0.07, 'polar': 0.0, 'bara': 0.0}"
Rangi ipi inawakilisha kupanda kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.35, 'nyekundu': 0.3, 'manjano': 0.14, 'kijani': 0.1, 'samawati': 0.07, 'urujuani': 0.04, 'nyeupe': 0.0, 'nyeusi': 0.0}"
Rangi ipi inawakilisha kushuka kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",manjano,"{'manjano': 0.34, 'nyekundu': 0.25, 'rangi chungwa': 0.23, 'kijani': 0.08, 'samawati': 0.06, 'urujuani': 0.03, 'nyeupe': 0.0, 'nyeusi': 0.0}"
Rangi ya mavazi ya bibi harusi huwa ipi katika ndoa ya kienyeji?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.47, 'rangi chungwa': 0.18, 'manjano': 0.17, 'kijani': 0.07, 'samawati': 0.06, 'urujuani': 0.04, 'nyeupe': 0.0, 'nyeusi': 0.0}"
Watu huvaa mavazi ya rangi gani kwenye mazishi ya kitamaduni?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.32, 'rangi chungwa': 0.21, 'manjano': 0.19, 'kijani': 0.13, 'samawati': 0.11, 'urujuani': 0.04, 'nyeupe': 0.0, 'nyeusi': 0.0}"
Je sherehe za harusi  huzidisha siku moja?,"chili, zaidi",chili,"{'chili': 0.98, 'zaidi': 0.02}"
