question,options,response,probabilities
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
Ποια είναι τα πιο δημοφιλή αθλήματα ;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.26, 'επιτραπέζιο τένις': 0.23, 'ποδόσφαιρο': 0.13, 'μπέιζμπολ': 0.1, 'μπάτμιντον': 0.1, 'μπάσκετ': 0.07, 'κρίκετ': 0.04, 'ράγκμπι': 0.04, 'βόλεϊ': 0.03}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των ηνωμένων πολιτειών πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",αυτοκίνητο,"{'αυτοκίνητο': 0.32, 'λεωφορείο': 0.19, 'αεροπλάνο': 0.18, 'ποδήλατο': 0.14, 'μετρό': 0.06, 'τρένο': 0.04, 'πλοίο': 0.03, 'βάρκα': 0.03}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.77, 'σπάνιο': 0.23}"
Σε ποια κλιματική ζώνη ανήκουν οι χώρα;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",ηπειρωτική,"{'ηπειρωτική': 0.45, 'τροπική': 0.24, 'εύκρατη': 0.15, 'πολική': 0.13, 'ξηρή': 0.03}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.26, 'πράσινο': 0.2, 'κόκκινο': 0.16, 'κίτρινο': 0.12, 'βιολετί': 0.11, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.26, 'κόκκινο': 0.17, 'πράσινο': 0.17, 'κίτρινο': 0.13, 'βιολετί': 0.11, 'μαύρο': 0.07, 'άσπρο': 0.06, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.26, 'κόκκινο': 0.17, 'πράσινο': 0.17, 'κίτρινο': 0.14, 'βιολετί': 0.11, 'άσπρο': 0.05, 'μαύρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φόρουμ που φορούν οι άνθρωποι σε παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.25, 'πράσινο': 0.18, 'κίτρινο': 0.14, 'κόκκινο': 0.14, 'βιολετί': 0.13, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.03}"
Μια  τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",περισσότερο,"{'περισσότερο': 0.61, 'λιγότερο': 0.39}"
