key,US,China,India,Iran,Kenya,Greece,lang,llama_size,mode,model_name
chinese_70_no_country_alpaca-2,0.41379310344827586,0.32142857142857145,0.45454545454545453,0.5517241379310345,0.59375,0.40625,chinese,70,no_country,alpaca-2
swahili_70_country_alpaca-2,0.3103448275862069,0.35714285714285715,0.3939393939393939,0.20689655172413793,0.34375,0.375,swahili,70,country,alpaca-2
swahili_70_no_country_alpaca-2,0.3103448275862069,0.32142857142857145,0.42424242424242425,0.2413793103448276,0.28125,0.40625,swahili,70,no_country,alpaca-2
persian_70_country_alpaca-2,0.27586206896551724,0.35714285714285715,0.3333333333333333,0.13793103448275862,0.25,0.375,persian,70,country,alpaca-2
persian_70_no_country_alpaca-2,0.27586206896551724,0.32142857142857145,0.30303030303030304,0.13793103448275862,0.21875,0.375,persian,70,no_country,alpaca-2
greek_70_country_alpaca-2,0.27586206896551724,0.21428571428571427,0.3333333333333333,0.13793103448275862,0.21875,0.34375,greek,70,country,alpaca-2
greek_70_no_country_alpaca-2,0.27586206896551724,0.25,0.30303030303030304,0.13793103448275862,0.28125,0.34375,greek,70,no_country,alpaca-2
english_6_country_yi,0.5172413793103449,0.42857142857142855,0.3333333333333333,0.4827586206896552,0.5,0.34375,english,6,country,yi
english_6_no_country_yi,0.41379310344827586,0.35714285714285715,0.30303030303030304,0.5517241379310345,0.5,0.40625,english,6,no_country,yi
chinese_6_country_yi,0.3793103448275862,0.39285714285714285,0.45454545454545453,0.3448275862068966,0.25,0.3125,chinese,6,country,yi
chinese_6_no_country_yi,0.3103448275862069,0.35714285714285715,0.45454545454545453,0.27586206896551724,0.25,0.28125,chinese,6,no_country,yi
english_34_country_yi,0.6206896551724138,0.39285714285714285,0.42424242424242425,0.4482758620689655,0.5,0.4375,english,34,country,yi
english_34_no_country_yi,0.5172413793103449,0.2857142857142857,0.3333333333333333,0.4482758620689655,0.5,0.40625,english,34,no_country,yi
chinese_34_country_yi,0.5517241379310345,0.5357142857142857,0.5454545454545454,0.4482758620689655,0.4375,0.53125,chinese,34,country,yi
chinese_34_no_country_yi,0.4482758620689655,0.39285714285714285,0.45454545454545453,0.41379310344827586,0.40625,0.59375,chinese,34,no_country,yi
english_7_country_uliza,0.20689655172413793,0.5,0.3939393939393939,0.1724137931034483,0.25,0.3125,english,7,country,uliza
english_7_no_country_uliza,0.13793103448275862,0.42857142857142855,0.3939393939393939,0.20689655172413793,0.25,0.28125,english,7,no_country,uliza
swahili_7_country_uliza,0.3103448275862069,0.4642857142857143,0.45454545454545453,0.27586206896551724,0.3125,0.375,swahili,7,country,uliza
swahili_7_no_country_uliza,0.3103448275862069,0.5,0.42424242424242425,0.27586206896551724,0.3125,0.40625,swahili,7,no_country,uliza
english_7_country_uliza-alt,0.4482758620689655,0.39285714285714285,0.3939393939393939,0.3448275862068966,0.3125,0.25,english,7,country,uliza-alt
english_7_no_country_uliza-alt,0.41379310344827586,0.35714285714285715,0.42424242424242425,0.4482758620689655,0.46875,0.4375,english,7,no_country,uliza-alt
swahili_7_country_uliza-alt,0.3793103448275862,0.32142857142857145,0.36363636363636365,0.4827586206896552,0.40625,0.34375,swahili,7,country,uliza-alt
swahili_7_no_country_uliza-alt,0.3793103448275862,0.39285714285714285,0.3939393939393939,0.4827586206896552,0.46875,0.375,swahili,7,no_country,uliza-alt
